Date,r,RV W,RV M,PC1,PC2,year_month
2017-09-17,1.5640265735444043,1.1519510501629378,2.7424735925764865,-0.6907815681289733,-0.7409242655330877,2017-09
2017-09-24,0.07956062964223395,0.3670864996975304,2.7424735925764865,-0.6907815681289733,-0.7409242655330877,2017-09
2017-10-01,0.6826617525465801,0.6058109620240377,2.4301091444386866,-0.013621801128203274,0.18834691989844324,2017-10
2017-10-08,1.1825666541539885,0.7349414520484696,2.4301091444386866,-0.013621801128203274,0.18834691989844324,2017-10
2017-10-15,0.15050835766229875,0.3938284634082667,2.4301091444386866,-0.013621801128203274,0.18834691989844324,2017-10
2017-10-22,0.8595375249110164,0.5497160453927742,2.4301091444386866,-0.013621801128203274,0.18834691989844324,2017-10
2017-10-29,0.227299910463036,1.0323152113760103,2.4301091444386866,-0.013621801128203274,0.18834691989844324,2017-10
2017-11-05,0.2619516763823575,0.48212840523405914,2.0146180420568305,-0.5184731304144659,-0.2430844887490018,2017-11
2017-11-12,-0.21430913036689192,0.4329276845845619,2.0146180420568305,-0.5184731304144659,-0.2430844887490018,2017-11
2017-11-19,-0.1336892587037492,1.051468631335859,2.0146180420568305,-0.5184731304144659,-0.2430844887490018,2017-11
2017-11-26,0.9098150343445229,0.6993980126939446,2.0146180420568305,-0.5184731304144659,-0.2430844887490018,2017-11
2017-12-03,1.5177710454205453,1.2922223433487119,4.06182581272641,-0.7949374271055993,-0.42137202445370475,2017-12
2017-12-10,0.35060557998554154,0.7340540802391832,4.06182581272641,-0.7949374271055993,-0.42137202445370475,2017-12
2017-12-17,0.9126642553015242,1.0454693109213615,4.06182581272641,-0.7949374271055993,-0.42137202445370475,2017-12
2017-12-24,0.28101598374511644,0.6626135582335594,4.06182581272641,-0.7949374271055993,-0.42137202445370475,2017-12
2017-12-31,-0.36326606796450517,0.5666471809933022,4.06182581272641,-0.7949374271055993,-0.42137202445370475,2017-12
2018-01-07,2.56772002062465,1.3204353682340098,6.049872810643695,-1.029435888000745,-0.926170987465324,2018-01
2018-01-14,1.5586153641050768,1.0003530823174043,6.049872810643695,-1.029435888000745,-0.926170987465324,2018-01
2018-01-21,0.8598243434415949,1.1047394894604836,6.049872810643695,-1.029435888000745,-0.926170987465324,2018-01
2018-01-28,2.202031430812057,1.4440109487414106,6.049872810643695,-1.029435888000745,-0.926170987465324,2018-01
2018-02-04,-3.9309492100227468,2.501817072787416,52.21942565055386,-0.39497823262761605,0.13783569607309262,2018-02
2018-02-11,-5.299951285947433,6.130626864661688,52.21942565055386,-0.39497823262761605,0.13783569607309262,2018-02
2018-02-18,4.21118888940578,2.278325976294375,52.21942565055386,-0.39497823262761605,0.13783569607309262,2018-02
2018-02-25,0.5504174140550631,1.7846517802904698,52.21942565055386,-0.39497823262761605,0.13783569607309262,2018-02
2018-03-04,-2.061285927417412,2.5103444665098515,24.620227454330003,-0.510213577940527,0.19591077803743706,2018-03
2018-03-11,3.4805703666899217,2.107708931885488,24.620227454330003,-0.510213577940527,0.19591077803743706,2018-03
2018-03-18,-1.2479916029366713,0.8879574638525447,24.620227454330003,-0.510213577940527,0.19591077803743706,2018-03
2018-03-25,-6.134571828988898,3.617663985866026,24.620227454330003,-0.510213577940527,0.19591077803743706,2018-03
2018-04-01,2.012261365509426,3.4889011861617543,35.26543527879956,-0.5058370827709591,0.19222600659898748,2018-04
2018-04-08,-1.3879264336721797,3.6575472142580487,35.26543527879956,-0.5058370827709591,0.19222600659898748,2018-04
