"","GARCH","EGARCH","GJR","RV"
"2009-10-18",2.91569444680131,2.28798204610767,2.06599205020965,2.03179103048425
"2009-10-25",2.61716484240259,2.03784939876612,1.85633863924829,2.16363518026593
"2009-11-01",2.29829968008269,1.99636410045877,1.75950490420655,4.29614417627338
"2009-11-08",2.85666005543248,3.23191387113646,3.2302703455751,2.04361916876299
"2009-11-15",2.91143891568355,2.79368635054971,2.80538134542991,2.54573760631096
"2009-11-22",2.73923882295335,2.44159719852621,2.45024917842761,2.00115167244423
"2009-11-29",2.36907287202447,2.14795564007121,2.15413056353075,2.24848824526485
"2009-12-06",2.06931245506701,1.87638415354566,1.91597735194557,1.61214147172682
"2009-12-13",1.94334555630001,1.71670150541017,1.73809506713218,1.31585314489912
"2009-12-20",1.73187157795564,1.54351749022856,1.59380511918721,1.59767553627949
"2009-12-27",1.57699412971095,1.50447774411906,1.5045694995159,1.24334000914177
"2010-01-03",1.7972769093644,1.45903338785803,1.44331236873589,1.02641636919253
"2010-01-10",1.69372505809377,1.6432236180223,1.53796076456366,1.6956492996908
"2010-01-17",2.01755605171747,1.58783583615179,1.48001046417856,1.68797832157016
"2010-01-24",1.83157738573523,1.66697755283911,1.49898052859651,3.36891235388068
"2010-01-31",2.56104015431747,3.04214941377783,3.0587670760896,1.73604651511587
"2010-02-07",2.368427304849,2.98681878164484,2.86967937293722,3.74983335660171
"2010-02-14",2.09894732389642,2.68748250238393,2.53398898893456,1.8774303705599
"2010-02-21",1.90352075614223,2.31348304646561,2.2195140861122,1.95964108922507
"2010-02-28",2.28232267733015,2.11695913003489,2.00436065408032,1.57878024267883
"2010-03-07",2.01088530510179,1.96502126021502,1.82189289676099,1.77527939186076
"2010-03-14",2.33576421019417,1.85229084157587,1.70068845577794,0.629714613131887
"2010-03-21",2.09999943322373,1.68532497144282,1.57016304299907,1.09570812800919
"2010-03-28",1.90297020737171,1.55013424994547,1.47092407090266,1.05205880310191
"2010-04-04",1.72371096369564,1.43247540100281,1.39520724888263,0.987040741543058
"2010-04-11",1.63442113140835,1.35465499975344,1.34344617054999,1.24762119266667
"2010-04-18",1.63877819230543,1.30788696069202,1.3115022347708,1.97880751833682
"2010-04-25",1.49838914978418,1.2682550826409,1.28379991206175,1.18872280141991
"2010-05-02",1.72979566402075,1.26788710421834,1.2840964377991,3.2665445003624
"2010-05-09",2.00779096807433,2.14183197744138,2.14430522936371,4.59928346201496
"2010-05-16",3.71613434105618,4.65596479796581,4.89210930198042,5.05895019475885
"2010-05-23",3.34663019220425,3.76505744177545,4.14951057483123,4.51111604206297
"2010-05-30",3.56859269830704,4.30256811030021,4.5971626399858,3.74505796905921
"2010-06-06",3.04393422552224,3.44994402562629,3.8973090801549,4.68331242250021
"2010-06-13",2.84611320663359,3.45164624877726,3.66772220258641,3.47136964707799
"2010-06-20",2.7420960429065,2.92761691825673,3.14949969532385,2.33715788229445
"2010-06-27",2.63762381120701,2.5437758612406,2.7280872871385,2.41180716283569
"2010-07-04",2.93056941496088,3.34995089640436,3.47166718020138,3.36541849222913
"2010-07-11",3.58673568204929,4.36521043609085,4.61056694990678,3.3460219805965
"2010-07-18",4.01706998918997,3.66987501694729,3.96292902599195,3.30160684566831
"2010-07-25",3.46417941383922,3.30708025775036,3.47726614149484,2.98932116139745
"2010-08-01",3.4222401773303,2.86014068178105,3.01032059275592,1.3812061533079
